Date : 2026-07-05 02:23:35
Directory : /Users/esadfurkanduman/kernel__
Total : 61 files,  1392 codes, -109 comments, 308 blanks, all 1591 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| /Users/esadfurkanduman/kernel__/kernel/shell.c                  | C        |       -168 |          0 |         -8 |       -176 |
| /Users/esadfurkanduman/kernel__/kernel/signal.c                 | C        |        -40 |          0 |         -7 |        -47 |
| /Users/esadfurkanduman/kernel__/kernel/syscall.c                | C        |       -394 |        -35 |        -38 |       -467 |
| /Users/esadfurkanduman/kernel__/kernel/syscall/syscall.c        | C        |        737 |         12 |         91 |        840 |
| /Users/esadfurkanduman/kernel__/lib/ft_strcmp.c                 | C        |          1 |          0 |          0 |          1 |
| /Users/esadfurkanduman/kernel__/lib/ft_strstr.c                 | C        |         19 |          0 |          2 |         21 |
| /Users/esadfurkanduman/kernel__/lib/stdio.c                     | C        |        123 |         11 |         27 |        161 |
| /Users/esadfurkanduman/kernel__/mm/kheap.c                      | C        |          0 |         -3 |          0 |         -3 |
| /Users/esadfurkanduman/kernel__/mm/pmm.c                        | C        |          0 |        -18 |         -1 |        -19 |
| /Users/esadfurkanduman/kernel__/tests/host/c/fuzz_parser.c      | C        |         38 |         24 |         11 |         73 |
| /Users/esadfurkanduman/kernel__/tests/host/c/test_crypto.c      | C        |         55 |         10 |         11 |         76 |
| /Users/esadfurkanduman/kernel__/tests/host/c/test_hash.c        | C        |         25 |          5 |          7 |         37 |
| /Users/esadfurkanduman/kernel__/tests/host/python/test_mkfs.py  | Python   |         17 |          3 |          8 |         28 |
| /Users/esadfurkanduman/kernel__/tests/kernel/ktest.h            | C++      |         35 |          1 |          7 |         43 |
| /Users/esadfurkanduman/kernel__/tests/kernel/selftest.c         | C        |         45 |          3 |         10 |         58 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_adversarial.c | C        |         23 |         14 |         10 |         47 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_concurrency.c | C        |         15 |          9 |          6 |         30 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_integration.c | C        |         46 |         16 |         14 |         76 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_memory.c      | C        |         17 |          0 |          6 |         23 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_pipe.c        | C        |         39 |         15 |         14 |         68 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_regression.c  | C        |         40 |         33 |         10 |         83 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_security.c    | C        |         38 |         12 |         13 |         63 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_stress.c      | C        |         27 |         10 |          7 |         44 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_string.c      | C        |         15 |          0 |          5 |         20 |
| /Users/esadfurkanduman/kernel__/tests/kernel/test_vfs.c         | C        |         34 |          1 |         11 |         46 |
| /Users/esadfurkanduman/kernel__/tools/encrypt_tool.c            | C        |          0 |        -21 |         -6 |        -27 |
| /Users/esadfurkanduman/kernel__/tools/mkfs.py                   | Python   |          1 |          1 |          0 |          2 |
| Total                                                           |          |      1,392 |       -109 |        308 |      1,591 |
+-----------------------------------------------------------------+----------+------------+------------+------------+------------+
