"filename", "language", "C", "Assembly", "Makefile", "Properties", "C++", "Python", "comment", "blank", "total"
"/Users/esadfurkanduman/kernel__/include/types.h", "C++", 0, 0, 0, 0, 12, 0, 0, 5, 17
"/Users/esadfurkanduman/kernel__/kernel/core/kernel.c", "C", 176, 0, 0, 0, 0, 0, 1, 36, 213
"/Users/esadfurkanduman/kernel__/kernel/core/klog.c", "C", 61, 0, 0, 0, 0, 0, 0, 21, 82
"/Users/esadfurkanduman/kernel__/kernel/proc/elf.c", "C", 142, 0, 0, 0, 0, 0, 1, 30, 173
"/Users/esadfurkanduman/kernel__/kernel/proc/pipe.c", "C", 60, 0, 0, 0, 0, 0, 0, 13, 73
"/Users/esadfurkanduman/kernel__/kernel/proc/process.c", "C", 330, 0, 0, 0, 0, 0, 0, 73, 403
"/Users/esadfurkanduman/kernel__/kernel/proc/signal.c", "C", 40, 0, 0, 0, 0, 0, 0, 7, 47
"/Users/esadfurkanduman/kernel__/kernel/security/passwd.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/esadfurkanduman/kernel__/kernel/security/security.c", "C", 89, 0, 0, 0, 0, 0, 0, 15, 104
"/Users/esadfurkanduman/kernel__/kernel/syscall/syscall.c", "C", 737, 0, 0, 0, 0, 0, 12, 91, 840
"/Users/esadfurkanduman/kernel__/lib/Makefile", "Makefile", 0, 0, 12, 0, 0, 0, 0, 7, 19
"/Users/esadfurkanduman/kernel__/lib/ft_atoi.c", "C", 29, 0, 0, 0, 0, 0, 11, 5, 45
"/Users/esadfurkanduman/kernel__/lib/ft_bzero.c", "C", 10, 0, 0, 0, 0, 0, 11, 4, 25
"/Users/esadfurkanduman/kernel__/lib/ft_calloc.c", "C", 10, 0, 0, 0, 0, 0, 11, 4, 25
"/Users/esadfurkanduman/kernel__/lib/ft_isalnum.c", "C", 8, 0, 0, 0, 0, 0, 11, 2, 21
"/Users/esadfurkanduman/kernel__/lib/ft_isalpha.c", "C", 6, 0, 0, 0, 0, 0, 11, 2, 19
"/Users/esadfurkanduman/kernel__/lib/ft_isascii.c", "C", 6, 0, 0, 0, 0, 0, 11, 2, 19
"/Users/esadfurkanduman/kernel__/lib/ft_isdigit.c", "C", 6, 0, 0, 0, 0, 0, 11, 2, 19
"/Users/esadfurkanduman/kernel__/lib/ft_isprint.c", "C", 6, 0, 0, 0, 0, 0, 11, 2, 19
"/Users/esadfurkanduman/kernel__/lib/ft_itoa.c", "C", 38, 0, 0, 0, 0, 0, 11, 5, 54
"/Users/esadfurkanduman/kernel__/lib/ft_lstadd_back_bonus.c", "C", 16, 0, 0, 0, 0, 0, 11, 4, 31
"/Users/esadfurkanduman/kernel__/lib/ft_lstadd_front_bonus.c", "C", 8, 0, 0, 0, 0, 0, 11, 3, 22
"/Users/esadfurkanduman/kernel__/lib/ft_lstclear_bonus.c", "C", 17, 0, 0, 0, 0, 0, 11, 4, 32
"/Users/esadfurkanduman/kernel__/lib/ft_lstdelone_bonus.c", "C", 8, 0, 0, 0, 0, 0, 11, 3, 22
"/Users/esadfurkanduman/kernel__/lib/ft_lstlast_bonus.c", "C", 11, 0, 0, 0, 0, 0, 11, 4, 26
"/Users/esadfurkanduman/kernel__/lib/ft_lstnew_bonus.c", "C", 11, 0, 0, 0, 0, 0, 11, 4, 26
"/Users/esadfurkanduman/kernel__/lib/ft_lstsize_bonus.c", "C", 12, 0, 0, 0, 0, 0, 11, 4, 27
"/Users/esadfurkanduman/kernel__/lib/ft_memchr.c", "C", 14, 0, 0, 0, 0, 0, 11, 4, 29
"/Users/esadfurkanduman/kernel__/lib/ft_memcmp.c", "C", 16, 0, 0, 0, 0, 0, 11, 4, 31
"/Users/esadfurkanduman/kernel__/lib/ft_memcpy.c", "C", 13, 0, 0, 0, 0, 0, 11, 4, 28
"/Users/esadfurkanduman/kernel__/lib/ft_memmove.c", "C", 17, 0, 0, 0, 0, 0, 11, 4, 32
"/Users/esadfurkanduman/kernel__/lib/ft_memset.c", "C", 14, 0, 0, 0, 0, 0, 11, 4, 29
"/Users/esadfurkanduman/kernel__/lib/ft_putchar_fd.c", "C", 5, 0, 0, 0, 0, 0, 11, 3, 19
"/Users/esadfurkanduman/kernel__/lib/ft_putendl_fd.c", "C", 12, 0, 0, 0, 0, 0, 11, 3, 26
"/Users/esadfurkanduman/kernel__/lib/ft_putnbr_fd.c", "C", 21, 0, 0, 0, 0, 0, 11, 4, 36
"/Users/esadfurkanduman/kernel__/lib/ft_putstr_fd.c", "C", 11, 0, 0, 0, 0, 0, 11, 3, 25
"/Users/esadfurkanduman/kernel__/lib/ft_split.c", "C", 70, 0, 0, 0, 0, 0, 0, 10, 80
"/Users/esadfurkanduman/kernel__/lib/ft_strchr.c", "C", 17, 0, 0, 0, 0, 0, 11, 4, 32
"/Users/esadfurkanduman/kernel__/lib/ft_strcmp.c", "C", 13, 0, 0, 0, 0, 0, 0, 2, 15
"/Users/esadfurkanduman/kernel__/lib/ft_strcpy.c", "C", 13, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/esadfurkanduman/kernel__/lib/ft_strdup.c", "C", 12, 0, 0, 0, 0, 0, 11, 4, 27
"/Users/esadfurkanduman/kernel__/lib/ft_striteri.c", "C", 12, 0, 0, 0, 0, 0, 11, 3, 26
"/Users/esadfurkanduman/kernel__/lib/ft_strjoin.c", "C", 27, 0, 0, 0, 0, 0, 11, 6, 44
"/Users/esadfurkanduman/kernel__/lib/ft_strlcat.c", "C", 26, 0, 0, 0, 0, 0, 11, 5, 42
"/Users/esadfurkanduman/kernel__/lib/ft_strlcpy.c", "C", 18, 0, 0, 0, 0, 0, 11, 4, 33
