"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"/Users/esadfurkanduman/kernel__/Makefile", "Makefile", 0, 5, 0, 0, 1, 6
"/Users/esadfurkanduman/kernel__/apps/init.c", "C", 225, 0, 0, 16, 26, 267
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/isr.c", "C", -22, 0, 0, 1, -6, -27
"/Users/esadfurkanduman/kernel__/drivers/ata.c", "C", 1, 0, 0, 0, 0, 1
"/Users/esadfurkanduman/kernel__/drivers/keyboard.c", "C", 10, 0, 0, 1, 2, 13
"/Users/esadfurkanduman/kernel__/fs/vfs.c", "C", 40, 0, 0, 0, 2, 42
"/Users/esadfurkanduman/kernel__/include/kernel.h", "C++", 0, 0, 1, 0, 1, 2
"/Users/esadfurkanduman/kernel__/include/libft.h", "C++", 0, 0, 3, 0, 2, 5
"/Users/esadfurkanduman/kernel__/include/multiboot.h", "C++", 0, 0, 15, 0, 2, 17
"/Users/esadfurkanduman/kernel__/kernel/elf.c", "C", 23, 0, 0, 13, 6, 42
"/Users/esadfurkanduman/kernel__/kernel/kernel.c", "C", -4, 0, 0, 8, 2, 6
"/Users/esadfurkanduman/kernel__/kernel/process.c", "C", 17, 0, 0, 0, 9, 26
"/Users/esadfurkanduman/kernel__/kernel/syscall.c", "C", 183, 0, 0, 0, 3, 186
"/Users/esadfurkanduman/kernel__/mm/kheap.c", "C", 10, 0, 0, 0, 7, 17
"/Users/esadfurkanduman/kernel__/mm/paging.c", "C", 26, 0, 0, 0, 6, 32
"/Users/esadfurkanduman/kernel__/mm/pmm.c", "C", 23, 0, 0, 8, 3, 34
"Total", "-", 532, 5, 19, 47, 66, 669
