Date : 2026-06-24 23:33:33
Directory : /Users/esadfurkanduman/kernel__
Total : 98 files,  3635 codes, 599 comments, 764 blanks, all 4998 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C          |         66 |      2,923 |        571 |        584 |      4,078 |
| C++        |         21 |        408 |         17 |        100 |        525 |
| Assembly   |          6 |        172 |          8 |         37 |        217 |
| Makefile   |          2 |         82 |          2 |         22 |        106 |
| Python     |          2 |         47 |          1 |         21 |         69 |
| Properties |          1 |          3 |          0 |          0 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                        | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                           |         98 |      3,635 |        599 |        764 |      4,998 |
| . (Files)                                                   |          1 |         71 |          2 |         16 |         89 |
| apps                                                        |          2 |        236 |         16 |         29 |        281 |
| arch                                                        |          9 |        373 |         10 |         84 |        467 |
| arch/x86                                                    |          9 |        373 |         10 |         84 |        467 |
| arch/x86/boot                                               |          1 |         27 |          7 |          9 |         43 |
| arch/x86/cpu                                                |          8 |        346 |          3 |         75 |        424 |
| drivers                                                     |          4 |        624 |          9 |        100 |        733 |
| fs                                                          |          1 |        136 |          0 |         26 |        162 |
| grub                                                        |          1 |          3 |          0 |          0 |          3 |
| include                                                     |         21 |        408 |         17 |        100 |        525 |
| kernel                                                      |          5 |        606 |         95 |        113 |        814 |
| lib                                                         |         48 |        865 |        441 |        209 |      1,515 |
| mm                                                          |          4 |        266 |          8 |         66 |        340 |
| tools                                                       |          2 |         47 |          1 |         21 |         69 |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                    | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/esadfurkanduman/kernel__/Makefile                    | Makefile   |         71 |          2 |         16 |         89 |
| /Users/esadfurkanduman/kernel__/apps/hello.asm              | Assembly   |         11 |          0 |          3 |         14 |
| /Users/esadfurkanduman/kernel__/apps/init.c                 | C          |        225 |         16 |         26 |        267 |
| /Users/esadfurkanduman/kernel__/arch/x86/boot/boot.asm      | Assembly   |         27 |          7 |          9 |         43 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt.c          | C          |         30 |          0 |          8 |         38 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt_s.asm      | Assembly   |         18 |          1 |          6 |         25 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/idt.c          | C          |         68 |          1 |         14 |         83 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/idt_s.asm      | Assembly   |         80 |          0 |         11 |         91 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/isr.c          | C          |        100 |          1 |         19 |        120 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/timer.c        | C          |         13 |          0 |          4 |         17 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/tss.c          | C          |         18 |          0 |          7 |         25 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/user_mode.asm  | Assembly   |         19 |          0 |          6 |         25 |
| /Users/esadfurkanduman/kernel__/drivers/ata.c               | C          |         43 |          0 |         12 |         55 |
| /Users/esadfurkanduman/kernel__/drivers/keyboard.c          | C          |        333 |          7 |         32 |        372 |
| /Users/esadfurkanduman/kernel__/drivers/rtc.c               | C          |         86 |          0 |         20 |        106 |
| /Users/esadfurkanduman/kernel__/drivers/tty.c               | C          |        162 |          2 |         36 |        200 |
| /Users/esadfurkanduman/kernel__/fs/vfs.c                    | C          |        136 |          0 |         26 |        162 |
| /Users/esadfurkanduman/kernel__/grub/grub.cfg               | Properties |          3 |          0 |          0 |          3 |
| /Users/esadfurkanduman/kernel__/include/ata.h               | C++        |         22 |          4 |          6 |         32 |
| /Users/esadfurkanduman/kernel__/include/elf.h               | C++        |         31 |          0 |          5 |         36 |
| /Users/esadfurkanduman/kernel__/include/fs.h                | C++        |         23 |          0 |          6 |         29 |
| /Users/esadfurkanduman/kernel__/include/gdt.h               | C++        |         20 |          0 |          7 |         27 |
| /Users/esadfurkanduman/kernel__/include/idt.h               | C++        |         20 |          0 |          5 |         25 |
| /Users/esadfurkanduman/kernel__/include/io.h                | C++        |         20 |          0 |          6 |         26 |
| /Users/esadfurkanduman/kernel__/include/isr.h               | C++        |         18 |          5 |          8 |         31 |
| /Users/esadfurkanduman/kernel__/include/kernel.h            | C++        |         28 |          5 |          8 |         41 |
| /Users/esadfurkanduman/kernel__/include/keyboard.h          | C++        |          5 |          0 |          3 |          8 |
