Date : 2026-06-29 00:07:33
Directory : /Users/esadfurkanduman/kernel__
Total : 114 files,  6414 codes, 841 comments, 1100 blanks, all 8355 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C          |         72 |      5,380 |        769 |        830 |      6,979 |
| C++        |         31 |        670 |         56 |        177 |        903 |
| Assembly   |          6 |        185 |         13 |         37 |        235 |
| Makefile   |          2 |        129 |          2 |         35 |        166 |
| Python     |          2 |         47 |          1 |         21 |         69 |
| Properties |          1 |          3 |          0 |          0 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                             |        114 |      6,414 |        841 |      1,100 |      8,355 |
| . (Files)                                                     |          1 |        117 |          2 |         28 |        147 |
| apps                                                          |          2 |        344 |         22 |         45 |        411 |
| arch                                                          |          9 |        417 |         24 |         99 |        540 |
| arch/x86                                                      |          9 |        417 |         24 |         99 |        540 |
| arch/x86/boot                                                 |          1 |         27 |          7 |          8 |         42 |
| arch/x86/cpu                                                  |          8 |        390 |         17 |         91 |        498 |
| crypto                                                        |          1 |        359 |        131 |         82 |        572 |
| drivers                                                       |          4 |        408 |          7 |         91 |        506 |
| fs                                                            |          2 |        291 |         20 |         69 |        380 |
| grub                                                          |          1 |          3 |          0 |          0 |          3 |
| include                                                       |         31 |        670 |         56 |        177 |        903 |
| kernel                                                        |          7 |      1,148 |        100 |        187 |      1,435 |
| lib                                                           |         48 |        866 |        441 |        210 |      1,517 |
| mm                                                            |          4 |        303 |         22 |         71 |        396 |
| src                                                           |          1 |      1,384 |          0 |          1 |      1,385 |
| src/resources                                                 |          1 |      1,384 |          0 |          1 |      1,385 |
| tools                                                         |          3 |        104 |         16 |         40 |        160 |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/esadfurkanduman/kernel__/Makefile                      | Makefile   |        117 |          2 |         28 |        147 |
| /Users/esadfurkanduman/kernel__/apps/hello.asm                | Assembly   |         11 |          0 |          3 |         14 |
| /Users/esadfurkanduman/kernel__/apps/init.c                   | C          |        333 |         22 |         42 |        397 |
| /Users/esadfurkanduman/kernel__/arch/x86/boot/boot.asm        | Assembly   |         27 |          7 |          8 |         42 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt.c            | C          |         30 |          0 |          8 |         38 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt_s.asm        | Assembly   |         18 |          1 |          6 |         25 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/idt.c            | C          |         79 |          3 |         20 |        102 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/idt_s.asm        | Assembly   |         93 |          1 |         13 |        107 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/isr.c            | C          |        113 |          8 |         27 |        148 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/timer.c          | C          |         20 |          0 |          5 |         25 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/tss.c            | C          |         18 |          0 |          7 |         25 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/user_mode.asm    | Assembly   |         19 |          4 |          5 |         28 |
| /Users/esadfurkanduman/kernel__/crypto/aes.c                  | C          |        359 |        131 |         82 |        572 |
| /Users/esadfurkanduman/kernel__/drivers/ata.c                 | C          |         55 |          0 |         18 |         73 |
| /Users/esadfurkanduman/kernel__/drivers/keyboard.c            | C          |        104 |          5 |         17 |        126 |
| /Users/esadfurkanduman/kernel__/drivers/rtc.c                 | C          |         87 |          0 |         20 |        107 |
| /Users/esadfurkanduman/kernel__/drivers/tty.c                 | C          |        162 |          2 |         36 |        200 |
| /Users/esadfurkanduman/kernel__/fs/crypto_fs.c                | C          |         55 |          9 |         17 |         81 |
| /Users/esadfurkanduman/kernel__/fs/vfs.c                      | C          |        236 |         11 |         52 |        299 |
| /Users/esadfurkanduman/kernel__/grub/grub.cfg                 | Properties |          3 |          0 |          0 |          3 |
| /Users/esadfurkanduman/kernel__/include/aes.h                 | C++        |         48 |         20 |         22 |         90 |
| /Users/esadfurkanduman/kernel__/include/arch.h                | C++        |         17 |          2 |          7 |         26 |
| /Users/esadfurkanduman/kernel__/include/ata.h                 | C++        |         22 |          4 |          6 |         32 |
| /Users/esadfurkanduman/kernel__/include/crypto.h              | C++        |         19 |          3 |          7 |         29 |
| /Users/esadfurkanduman/kernel__/include/elf.h                 | C++        |         32 |          0 |          6 |         38 |
| /Users/esadfurkanduman/kernel__/include/errno.h               | C++        |         11 |          4 |          3 |         18 |
| /Users/esadfurkanduman/kernel__/include/fs.h                  | C++        |         36 |          1 |          8 |         45 |
| /Users/esadfurkanduman/kernel__/include/gdt.h                 | C++        |         25 |          1 |          9 |         35 |
| /Users/esadfurkanduman/kernel__/include/idt.h                 | C++        |         20 |          0 |          5 |         25 |
| /Users/esadfurkanduman/kernel__/include/init_elf.h            | C++        |          5 |          0 |          2 |          7 |
| /Users/esadfurkanduman/kernel__/include/io.h                  | C++        |         20 |          0 |          6 |         26 |
| /Users/esadfurkanduman/kernel__/include/isr.h                 | C++        |         13 |          6 |          5 |         24 |
| /Users/esadfurkanduman/kernel__/include/kernel.h              | C++        |         31 |          5 |          6 |         42 |
| /Users/esadfurkanduman/kernel__/include/keyboard.h            | C++        |          6 |          0 |          3 |          9 |
| /Users/esadfurkanduman/kernel__/include/kheap.h               | C++        |          8 |          0 |          3 |         11 |
| /Users/esadfurkanduman/kernel__/include/libft.h               | C++        |         56 |          0 |          5 |         61 |
| /Users/esadfurkanduman/kernel__/include/multiboot.h           | C++        |         28 |          0 |          5 |         33 |
| /Users/esadfurkanduman/kernel__/include/paging.h              | C++        |         16 |          3 |          4 |         23 |
| /Users/esadfurkanduman/kernel__/include/pmm.h                 | C++        |         15 |          0 |          5 |         20 |
| /Users/esadfurkanduman/kernel__/include/process.h             | C++        |         59 |          0 |         12 |         71 |
| /Users/esadfurkanduman/kernel__/include/registers.h           | C++        |         22 |          2 |          5 |         29 |
| /Users/esadfurkanduman/kernel__/include/rtc.h                 | C++        |          7 |          0 |          3 |         10 |
