"filename", "language", "C", "Assembly", "Makefile", "Properties", "C++", "Python", "comment", "blank", "total"
"/Users/esadfurkanduman/kernel__/Makefile", "Makefile", 0, 0, 71, 0, 0, 0, 2, 16, 89
"/Users/esadfurkanduman/kernel__/apps/hello.asm", "Assembly", 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/esadfurkanduman/kernel__/apps/init.c", "C", 229, 0, 0, 0, 0, 0, 14, 26, 269
"/Users/esadfurkanduman/kernel__/arch/x86/boot/boot.asm", "Assembly", 0, 27, 0, 0, 0, 0, 7, 8, 42
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt.c", "C", 30, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt_s.asm", "Assembly", 0, 18, 0, 0, 0, 0, 1, 6, 25
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/idt.c", "C", 79, 0, 0, 0, 0, 0, 3, 20, 102
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/idt_s.asm", "Assembly", 0, 93, 0, 0, 0, 0, 1, 13, 107
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/isr.c", "C", 116, 0, 0, 0, 0, 0, 0, 22, 138
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/timer.c", "C", 13, 0, 0, 0, 0, 0, 0, 4, 17
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/tss.c", "C", 18, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/user_mode.asm", "Assembly", 0, 19, 0, 0, 0, 0, 4, 5, 28
"/Users/esadfurkanduman/kernel__/drivers/ata.c", "C", 55, 0, 0, 0, 0, 0, 0, 18, 73
"/Users/esadfurkanduman/kernel__/drivers/keyboard.c", "C", 335, 0, 0, 0, 0, 0, 7, 32, 374
"/Users/esadfurkanduman/kernel__/drivers/rtc.c", "C", 86, 0, 0, 0, 0, 0, 0, 20, 106
"/Users/esadfurkanduman/kernel__/drivers/tty.c", "C", 162, 0, 0, 0, 0, 0, 2, 36, 200
"/Users/esadfurkanduman/kernel__/fs/vfs.c", "C", 201, 0, 0, 0, 0, 0, 0, 42, 243
"/Users/esadfurkanduman/kernel__/grub/grub.cfg", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 3
"/Users/esadfurkanduman/kernel__/include/ata.h", "C++", 0, 0, 0, 0, 22, 0, 4, 6, 32
