Date : 2026-07-01 16:53:43
Directory : /Users/esadfurkanduman/kernel__
Total : 115 files,  6813 codes, 972 comments, 1178 blanks, all 8963 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C          |         73 |      5,772 |        896 |        905 |      7,573 |
| C++        |         31 |        677 |         60 |        180 |        917 |
| Assembly   |          6 |        185 |         13 |         37 |        235 |
| Makefile   |          2 |        129 |          2 |         35 |        166 |
| Python     |          2 |         47 |          1 |         21 |         69 |
| Properties |          1 |          3 |          0 |          0 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                             |        115 |      6,813 |        972 |      1,178 |      8,963 |
| . (Files)                                                     |          1 |        117 |          2 |         28 |        147 |
| apps                                                          |          2 |        423 |         45 |         54 |        522 |
| arch                                                          |          9 |        417 |         24 |         99 |        540 |
| arch/x86                                                      |          9 |        417 |         24 |         99 |        540 |
| arch/x86/boot                                                 |          1 |         27 |          7 |          8 |         42 |
| arch/x86/cpu                                                  |          8 |        390 |         17 |         91 |        498 |
| crypto                                                        |          1 |        359 |        131 |         82 |        572 |
| drivers                                                       |          4 |        447 |         20 |        101 |        568 |
| fs                                                            |          2 |        455 |         52 |         96 |        603 |
| grub                                                          |          1 |          3 |          0 |          0 |          3 |
| include                                                       |         31 |        677 |         60 |        180 |        917 |
| kernel                                                        |          7 |      1,236 |        142 |        212 |      1,590 |
| lib                                                           |         48 |        864 |        451 |        210 |      1,525 |
| mm                                                            |          4 |        303 |         22 |         71 |        396 |
| src                                                           |          1 |      1,384 |          0 |          1 |      1,385 |
| src/resources                                                 |          1 |      1,384 |          0 |          1 |      1,385 |
| tools                                                         |          4 |        128 |         23 |         44 |        195 |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                      | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/esadfurkanduman/kernel__/Makefile                      | Makefile   |        117 |          2 |         28 |        147 |
| /Users/esadfurkanduman/kernel__/apps/hello.asm                | Assembly   |         11 |          0 |          3 |         14 |
| /Users/esadfurkanduman/kernel__/apps/init.c                   | C          |        412 |         45 |         51 |        508 |
| /Users/esadfurkanduman/kernel__/arch/x86/boot/boot.asm        | Assembly   |         27 |          7 |          8 |         42 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt.c            | C          |         30 |          0 |          8 |         38 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt_s.asm        | Assembly   |         18 |          1 |          6 |         25 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/idt.c            | C          |         79 |          3 |         20 |        102 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/idt_s.asm        | Assembly   |         93 |          1 |         13 |        107 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/isr.c            | C          |        113 |          8 |         27 |        148 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/timer.c          | C          |         20 |          0 |          5 |         25 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/tss.c            | C          |         18 |          0 |          7 |         25 |
| /Users/esadfurkanduman/kernel__/arch/x86/cpu/user_mode.asm    | Assembly   |         19 |          4 |          5 |         28 |
| /Users/esadfurkanduman/kernel__/crypto/aes.c                  | C          |        359 |        131 |         82 |        572 |
| /Users/esadfurkanduman/kernel__/drivers/ata.c                 | C          |         94 |         13 |         28 |        135 |
| /Users/esadfurkanduman/kernel__/drivers/keyboard.c            | C          |        104 |          5 |         17 |        126 |
| /Users/esadfurkanduman/kernel__/drivers/rtc.c                 | C          |         87 |          0 |         20 |        107 |
| /Users/esadfurkanduman/kernel__/drivers/tty.c                 | C          |        162 |          2 |         36 |        200 |
| /Users/esadfurkanduman/kernel__/fs/crypto_fs.c                | C          |        143 |         38 |         32 |        213 |
| /Users/esadfurkanduman/kernel__/fs/vfs.c                      | C          |        312 |         14 |         64 |        390 |
| /Users/esadfurkanduman/kernel__/grub/grub.cfg                 | Properties |          3 |          0 |          0 |          3 |
| /Users/esadfurkanduman/kernel__/include/aes.h                 | C++        |         48 |         20 |         22 |         90 |
| /Users/esadfurkanduman/kernel__/include/arch.h                | C++        |         17 |          2 |          7 |         26 |
| /Users/esadfurkanduman/kernel__/include/ata.h                 | C++        |         23 |          4 |          8 |         35 |
| /Users/esadfurkanduman/kernel__/include/crypto.h              | C++        |         19 |          3 |          7 |         29 |
| /Users/esadfurkanduman/kernel__/include/elf.h                 | C++        |         32 |          0 |          6 |         38 |
| /Users/esadfurkanduman/kernel__/include/errno.h               | C++        |         11 |          4 |          3 |         18 |
| /Users/esadfurkanduman/kernel__/include/fs.h                  | C++        |         39 |          1 |          9 |         49 |
| /Users/esadfurkanduman/kernel__/include/gdt.h                 | C++        |         25 |          1 |          9 |         35 |
| /Users/esadfurkanduman/kernel__/include/idt.h                 | C++        |         20 |          0 |          5 |         25 |
| /Users/esadfurkanduman/kernel__/include/init_elf.h            | C++        |          5 |          0 |          2 |          7 |
| /Users/esadfurkanduman/kernel__/include/io.h                  | C++        |         20 |          0 |          6 |         26 |
| /Users/esadfurkanduman/kernel__/include/isr.h                 | C++        |         13 |          6 |          5 |         24 |
| /Users/esadfurkanduman/kernel__/include/kernel.h              | C++        |         31 |          5 |          6 |         42 |
| /Users/esadfurkanduman/kernel__/include/keyboard.h            | C++        |          6 |          0 |          3 |          9 |
| /Users/esadfurkanduman/kernel__/include/kheap.h               | C++        |          8 |          0 |          3 |         11 |
